Serial Number,PHASE_3_STARTUP_OFFSET value (decimal): ,use_3 average at float: ,use_3 average at detected: ,PHASE_3_STARTUP_THRESHOLD: ,Calculated PHASE_3_STARTUP_CONFIG: 
PA967200001D,448,58632,79204,2153,0x1c00869
PB967200000Q,367,58298,75521,2090,0x16f082a
PA967200001B,371,80248,100941,2831,0x1730b0f
PA967200000Y,370,45430,63677,1704,0x17206a8
PB967200002A,370,60830,75047,2123,0x172084b
PA9672000014+,375,23009,44933,1061,0x1770425
PA967200001F,374,24369,47560,1123,0x1760463
PB967200000S,369,86417,102186,2946,0x1710b82
PA967200000T,369,40075,63365,1616,0x1710650
PA9672000012,370,26709,49510,1190,0x17204a6
PB967200000W,371,43277,57158,1569,0x1730621
PB967200000U,371,29231,44910,1158,0x1730486
PB9672000012,369,64995,84176,2330,0x171091a
PA9672000015,375,7659,29420,579,0x1770243
PB967200001Y,371,56893,71839,2011,0x17307db
PA967200001A,367,26060,40728,1043,0x16f0413
PB9672000010,371,53767,71432,1956,0x17307a4
PB967200002H,373,77146,89533,2604,0x1750a2c
PA967200001E,368,25899,39457,1021,0x17003fd
PB967200000T,369,99215,115343,3352,0x1710d18
PB9672000014,370,75356,91321,2604,0x1720a2c
PB967200001B,449,62432,78814,2206,0x1c1089e
PB9672000015,373,49770,64004,1777,0x17506f1
PB967200001A,372,81018,95957,2765,0x1740acd
PB9672000023,448,28484,44407,1138,0x1c00472
PB967200001U,375,62253,73471,2120,0x1770848
PB967200001P,373,83147,97763,2826,0x1750b0a
PB9672000017,369,62329,79539,2216,0x17108a8
PB9672000029,375,32823,47049,1248,0x17704e0
PB9672000025,367,73705,90240,2561,0x16f0a01
PA967200000W,375,57785,74481,2066,0x1770812
PA967200000V,371,63655,80295,2249,0x17308c9
PA9672000018,370,26224,41112,1052,0x172041c
PB967200000R,373,13657,26742,631,0x1750277
PA967200000S,372,33332,47697,1266,0x17404f2
PA9672000019,371,76301,92120,2631,0x1730a47
PB967200001E,373,52074,68554,1884,0x175075c
PB967200002E,367,87254,103163,2975,0x16f0b9f
PB967200003C,371,29822,46220,1188,0x17304a4
PB967200002Q,366,94189,113166,3239,0x16e0ca7
