Serial Number,PHASE_3_STARTUP_OFFSET value (decimal): ,use_3 average at float: ,use_3 average at detected: ,PHASE_3_STARTUP_THRESHOLD: ,Calculated PHASE_3_STARTUP_CONFIG: 
PA967200000Y,370,45430,63677,1704,0x17206a8
PB967200002A,370,60830,75047,2123,0x172084b
PA9672000014+,375,23009,44933,1061,0x1770425
PA967200001F,374,24369,47560,1123,0x1760463
PB967200000S,369,86417,102186,2946,0x1710b82
PA967200000T,369,40075,63365,1616,0x1710650
PA9672000012,370,26709,49510,1190,0x17204a6
PB967200000W,371,43277,57158,1569,0x1730621
PB967200000U,371,29231,44910,1158,0x1730486
PB9672000012,369,64995,84176,2330,0x171091a
PA9672000015,375,7659,29420,579,0x1770243
