Serial Number,PHASE_3_STARTUP_OFFSET value (decimal): ,use_3 average at float: ,use_3 average at detected: ,PHASE_3_STARTUP_THRESHOLD: ,Calculated PHASE_3_STARTUP_CONFIG: 
PA967200001D,448,58632,79204,2153,0x1c00869
PB967200000Q,367,58298,75521,2090,0x16f082a
PA967200001B,371,80248,100941,2831,0x1730b0f
PA967200000Y,370,45430,63677,1704,0x17206a8
PB967200002A,370,60830,75047,2123,0x172084b
PA9672000014+,375,23009,44933,1061,0x1770425
PA967200001F,374,24369,47560,1123,0x1760463
PB967200000S,369,86417,102186,2946,0x1710b82
PA967200000T,369,40075,63365,1616,0x1710650
PA9672000012,370,26709,49510,1190,0x17204a6
PB967200000W,371,43277,57158,1569,0x1730621
PB967200000U,371,29231,44910,1158,0x1730486
PB9672000012,369,64995,84176,2330,0x171091a
PA9672000015,375,7659,29420,579,0x1770243
PB967200001Y,371,56893,71839,2011,0x17307db
PA967200001A,367,26060,40728,1043,0x16f0413
PB9672000010,371,53767,71432,1956,0x17307a4
PB967200002H,373,77146,89533,2604,0x1750a2c
PA967200001E,368,25899,39457,1021,0x17003fd
PB967200000T,369,99215,115343,3352,0x1710d18
PB9672000014,370,75356,91321,2604,0x1720a2c
PB967200001B,449,62432,78814,2206,0x1c1089e
PB9672000015,373,49770,64004,1777,0x17506f1
PB967200001A,372,81018,95957,2765,0x1740acd
PB9672000023,448,28484,44407,1138,0x1c00472
PB967200001U,375,62253,73471,2120,0x1770848
PB967200001P,373,83147,97763,2826,0x1750b0a
PB9672000017,369,62329,79539,2216,0x17108a8
PB9672000029,375,32823,47049,1248,0x17704e0
PB9672000025,367,73705,90240,2561,0x16f0a01
PA967200000W,375,57785,74481,2066,0x1770812
PA967200000V,371,63655,80295,2249,0x17308c9
PA9672000018,370,26224,41112,1052,0x172041c
PB967200000R,373,13657,26742,631,0x1750277
PA967200000S,372,33332,47697,1266,0x17404f2
PA9672000019,371,76301,92120,2631,0x1730a47
PB967200001E,373,52074,68554,1884,0x175075c
PB967200002E,367,87254,103163,2975,0x16f0b9f
PB967200003C,371,29822,46220,1188,0x17304a4
PB967200002Q,366,94189,113166,3239,0x16e0ca7
PB967200001W,371,82436,98644,2829,0x1730b0d
PB967200003A,449,36843,51215,1375,0x1c1055f
PB967200002C,373,94063,109959,3187,0x1750c73
PB9672000024,374,23721,38499,972,0x17603cc
PB967200001M,374,38072,57957,1500,0x17605dc
PB967200002F,371,56617,71211,1997,0x17307cd
PB967200001F,372,61955,73580,2117,0x1740845
PB9672000028,448,51174,63733,1795,0x1c00703
PB967200002B,369,81456,96419,2779,0x1710adb
PB9672000031,371,40274,53144,1459,0x17305b3
PB967200002Y,374,78144,95006,2705,0x1760a91
PB967200000X,373,56553,70909,1991,0x17507c7
PB967200001N,448,37177,51448,1384,0x1c00568
PB967200001Q,368,69269,85165,2413,0x170096d
PB967200002J,448,54390,67219,1900,0x1c0076c
PB967200002D,449,49276,59897,1705,0x1c106a9
PB9672000027,375,42338,55427,1527,0x17705f7
PB967200000K,369,42239,56584,1544,0x1710608
PB9672000019,448,66800,83248,2344,0x1c00928
PB967200001D,371,56805,71311,2001,0x17307d1
PB9672000032,373,16325,31754,751,0x17502ef
PB967200001K,372,38552,53706,1441,0x17405a1
PB967200002K,373,34946,49958,1326,0x175052e
PB967200001R,368,24024,38795,981,0x17003d5
PB967200001J,367,42151,56558,1542,0x16f0606
PA967200000U,367,66122,79258,2271,0x16f08df
PB9672000020,367,63070,77677,2199,0x16f0897
PB967200001X,374,82363,94667,2766,0x1760ace
PB967200002G,373,74334,86062,2506,0x17509ca
PB967200001V,373,76431,89444,2591,0x1750a1f
PB9672000035,374,71628,85381,2453,0x1760995
PB967200002P,450,20153,36515,885,0x1c20375
PB9672000022,373,99047,114962,3343,0x1750d0f
PB9672000021,373,32171,48962,1267,0x17504f3
PB9672000026+,1142,204174,207126,6426,0x476191a
PB967200001C,374,26713,39599,1036,0x176040c
